story,caption
"Ta-da, aku adalah Manusia Super!",woman and a boy in a laundry room
"Miu Miu, kemarin kamu mencuri ikan. Kamu akan dihukum!- Meong .",picture of a woman in a yellow dress and a man in a yellow shirt
"Berhenti, kamu pencuri, Miu Miu!- Meong meong .",a  boy in a superman costume is standing in front of a washing machine
"Manusia Super sekarang terbang, wuss wuss!- Meong meong .",a  picture of a boy with a superman smile on his face
"Buk buk buk...Kamu akan kutangkap, pencuri!",a woman in glasses and a red dress with a red tie
"Manusia Super merasa lelah,Tapi, di mana Miu Miu?",a  superhero - like superhero with a superhero
"Bu, apakah Ibu tahu di mana si Miu Miu sembunyi?- Ibu tidak tahu, Bo!",a map of a town with a river and a boat
Ke mana perginya Miu Miu?- Ibu akan membantumu mencari Miu Miu setelah selesai mencuci baju.,character of a boy in a superman costume is flying through the air
BYUR!- Meong meong .,cat in a hat with a blue hat on it
"Meong meong .- Oh, tidak, Miu Miu ada di dalam mesin cuci!",character from the  series superman and his cat
"Astaga, aku harus segera mengeluarkan Miu Miu!",a  man in a superman costume
"Anakku, kamu adalah Manusia Super penyelamat kucing! Kamu menyelamatkan Miu Miu!-Hihihi .- Meong meong .",woman in a yellow dress and a baby in a bathtub
"Pada hari Senin pagi, setiap murid sudah siap untuk melakukan presentasi tentang super hero favorit mereka dan kekuatan super terbaik yang dimiliki superhero itu. Bu Guru sangat senang melihat antusiasme dari setiap anak. Dia mengatur murid-murid yang melompat ke sana ke mari, lalu memulai presentasinya.",a group of children in a classroom with a teacher
"Sesudah presentasi Superman dan Spider-man, Hulk, dan yang lainnya, saatnya presentasi Talha dan Maha, dua murid yang memakai baju abu-abu. Semua murid bertanya-tanya apakah kekuatan super hero mereka, dan mulai mendengarkan puisi karangan Talha dan Maha.",character of a woman in a yellow dress and a man in a red cape cape
Edhi kecil melihat ibunya beramal. Ibunya tak bisa acuh tak acuh terhadap mereka yang membutuhkan.,anime - style image of a man with a heart shaped light bulb
"Edhi kecil juga mulai beramal setiap hari, berapa pun yang bisa ia berikan.",a woman in a yellow dress holding a baby in a yellow background
Murah hatinya makin bertambah tiap hari hingga ia menjadi superhero dengan hati yang pemurah sekali.,a woman with a heart shaped object in her hand
Hatinya begitu pemurah sehingga ia bisa membantu semua yang membutuhkannya.,man and a woman walking down a hill
"Edhi punya mobil paling kencang, mengilap, dan berwarna putih. Mobilnya digunakan untuk merawat luka sekecil apa pun nanti.",a ish a woman in a dress and a man in a suit and
"Edhi Baba orang yang begitu baik hati. Niat baiknya kami ikuti. Menolong dan beramal, ini yang kami lakukan. Kami punya superpower berupa kemurahan hati yang juga bisa kalian dapatkan!",there is a picture of a woman in a red dress and a man in a red dress
Memang HATI YANG PEMURAH merupakan kekuatan super yang luar biasa yang telah lama kita cari-cari. Bu guru tersenyum saat seluruh kelas bertepuk tangan untuk puisi EDHI BABA yang indah. Mereka pun mulai beramal dengan apa pun yang bisa mereka beri.,a woman with glasses and a scarf around her neck
"Di Hutan Hijau, semua penghuni hidup rukun dan damai satu sama lain.",a rabbit rabbit and a hedgehog with a hedge
"Tiba-tiba, pada suatu hari, Raja Harimau dari Hutan Tua mengutus bawahannya ke Hutan Hijau untuk mengaum dan berteriak dengan angkuh dan mengancam.",a group of animals and a dog in a field
"Ketika melihat ada Kelinci Cokelat, mereka berteriak.Di mana Pemimpinmu? Katakan padanya untuk hadir sekarang juga! Raja Harimau memberikan titah untuk kalian.Ketua kami sedang pergi sekarang! Kelinci Cokelat menjawab.",tiger and brown rabbit
"Para bawahan memberikan kumis Raja Harimau kepada Kelinci Cokelat dan berkata,Berikan ini kepada Pemimpin Hutan Hijau kalian, katakan padanya untuk menyajikan makhluk gemuk yang empuk berisi setiap hari sebagai penghormatan kepada Raja kami, atau semua yang ada di hutan hijau ini akan hancur lebur.",there are two tigers playing with a ball in the grass
"Jika kita mematuhi titah itu, dalam waktu yang singkat semua penghuni Hutan Hijau akan menjadi makanan Harimau! Kelinci Cokelat berlari cemas mencari si Landak.",tiger cubby and a rabbit rabbit in a forest
"Setelah mendengar perkataan Kelinci Cokelat, Landak berkata,Harimau mencoba membual tentang kekuatannya melalui kumisnya. Kita harus segera mencari cara untuk mengatasinya atau kita semua akan berada dalam bahaya",rabbit rabbit with a turtle and a turtle in the background
Kelinci berpikir sebentar dan kemudian dia meminta kepada Landak.Bisakah kamu memberiku salah satu dari duri-durimu?Kelinci memberikan duri itu kepada bawahan Harimau dan berkata.,a hedge and a hedgehog are shown in this drawing
"Ini adalah sehelai rambut dari Pemimpin Hutan Hijau kami. Dengan rambut ini, dia menantang Rajamu untuk perang tanding. Jika Rajamu kalah, semua kaum harimau akan dimakan hidup-hidup dalam sehari.",tiger cubby and a rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit rabbit
"Setelah menatap duri itu cukup lama, akhirnya Raja Harimau berkata.Pemimpin Hutan Hijau pastilah sangat besar dan kejam karena memiliki rambut yang besar, keras dan tajam ini. Sejak saat ini sebaiknya kita menjauh dari hutan itu.",tiger cubby with a tiger cubby and a tiger cubby
"Berkat Kelinci Coklat yang cerdik dan pemberani, sejak saat itu tidak ada lagi binatang buas yang berani mengintai di sekitar Hutan Hijau, dan hewan-hewan di sana menikmati kedamaian selamanya.",child's sunflower and a butterfly
"Goretti terlihat cantik sekali. Goretti memakai Labuliman, Utan, dan Dong. Namun, aku sedih melihat Goretti. Baju pengantinnya memang bagus, tetapi aku lebih suka Goretti memakai seragam sekolah. Kenapa kau akhirnya menikah? Bukankah kita sudah berencana untuk bersekolah sampai tinggi? tanyaku kecewa.",a woman is holding a baby and a baby
"Goretti bilang, dia tidak bisa memenuhi janji. Sekolah butuh biaya mahal, katanya. Orang tuanya tidak punya uang. Aku sedih. Aku harus bicara dengan Mama. Aku ingin Mama tahu, aku ingin sekolah yang tinggi. Ma, Keona tidak mau menikah dulu seperti Goretti. Keona masih ingin sekolah.",a girl looking at herself in the mirror in a cabinet
"Mama diam saja sambil terus berjalan. Apa Mama tidak mendengarku? Ma, Keona mau terus sekolah. Sekarang Mama memandangku. Keona, sekolah itu butuh biaya. Mama tidak punya banyak uang untuk itu. Aku tahu, hasil tenunan Mama hanya cukup untuk makan kami berdua. Tetapi, Keona tidak mau seperti Goretti. Mama diam saja.",a woman holding a baby in a small village
"Aku harus memikirkan caranya. Aku harus terus sekolah. Di sekolah, aku bisa bertemu dengan teman yang lain. Aku bisa berolahraga. Aku bisa membaca buku yang banyak di perpustakaan. Aku bisa membaca kisah orang hebat yang sekolah tinggi. Aku tidak mau seperti Goretti. Tidak! Aku harus terus sekolah.",cartoonish a girl looking at a mirror in a wardrobe
"Kalau aku terus sekolah, aku bisa ke rumah Goretti dan mengajari Goretti. Goretti pasti suka. Aku harus menabung dari sekarang agar aku tetap bisa sekolah. Bagaimana caranya aku mendapatkan uang? Hmmm, haruskah aku menenun seperti Mama?",a woman weaving a rug with a large weaving machine
